Original Question,Rephrased Question,Answer A,Answer B,Answer C,Correct Choice
"If registration numbers are to be applied to an aircraft with a letter height of 12 inches, what is the minimum space required for the registration mark N1683C?|Note:|2/3 x height = character width.|1/6 x height = width for 1.|1/4 x 2/3 height = spacing.|1/6 x height = stroke or line width.","When registration numbers are to be applied to an aircraft with a letter height of 12 inches, what is the minimum space required for the registration mark N1683C?|Note:|2/3 x height = character width.|1/6 x height = width for 1.|1/4 x 2/3 height = spacing.|1/6 x height = stroke or line width.",52 inches.,48 inches.,57 inches.,A
"If masking tape is applied to an aircraft, such as for trim spraying, and is left on for several days and/or exposed to heat, it is likely that the tape will","When masking tape is applied to an aircraft, such as for trim spraying, and is left on for several days and/or exposed to heat, it is likely that the tape will",not seal out the finishing material if the delay or heating occurs before spraying.,be weakened in its ability to adhere to the surface.,cure to the finish and be very difficult to remove.,C
What is used to slow the drying time of some finishes and to prevent blush?,Which substance is used to slow the drying time of some finishes and to prevent blush?,Reducer.,Retarder.,Rejuvenator.,B
Which type of coating typically includes phosphoric acid as one of its components at the time of application?,Which type of coating typically includes phosphoric acid as one of its components at the time of application?,Wash primer.,Epoxy primer.,Zinc chromate primer.,A
Which properly applied finish topcoat is the most durable and chemical resistant?,Which properly applied finish topcoat is the most durable and chemical resistant?,Synthetic enamel.,Acrylic lacquer.,Polyurethane.,C
Aluminum pigment in dope is used primarily to,Aluminum pigment in dope is used primarily to,provide a silver color.,aid in sealing out moisture from the fabric.,reflect ultraviolet from the fabric.,C
A correct use for acetone is to,A correct use for acetone is to,thin zinc chromate primer.,remove grease from fabric.,thin dope.,B
Which of the following is a hazard associated with sanding on fabric covered surfaces during the finishing process?,Which of the following is a hazard associated with sanding on fabric covered surfaces during the finishing process?,"Overheating of the fabric/finish, especially with the use of power tools.",Static electricity buildup.,Embedding of particles in the finish.,B
"When humidity is low, what is likely to occur if unhydrated wash primer is applied to unpainted aluminum and then, about 30 to 40 minutes later, a finish topcoat is applied?","When humidity is low, what is likely to occur if unhydrated wash primer is applied to unpainted aluminum and then, about 30 to 40 minutes later, a finish topcoat is applied?",Corrosion.,"A glossy, blush-free finish.",A dull finish due to the topcoat 'sinking in' to primer that is still too soft.,A
Fungicidal dopes are used in aircraft finishing as the,Fungicidal dopes are used in aircraft finishing as the,"first, full-bodied, brushed-on coat to prevent fungus damage.",first coat to prevent fabric rotting and are applied thin enough to saturate the fabric.,"final, full-bodied, brushed-on coat to reduce blushing.",B
"Before applying a protective coating to any unpainted clean aluminum, you should","Before applying a protective coating to any unpainted clean aluminum, you should",wipe the surface with methyl ethyl ketone (MEK).,remove any contaminants from the surface with a paper towel.,avoid touching the surface with bare hands.,C
"When humidity is low, what is likely to occur if hydrated wash primer is applied to unpainted aluminum and then, 30 to 40 minutes later, a finish top coat is applied?","When humidity is low, what is likely to occur if hydrated wash primer is applied to unpainted aluminum and then, 30 to 40 minutes later, a finish top coat is applied?",Corrosion.,"A glossy, blush-free finish.",A dull finish due to the topcoat 'sinking in' to primer that is still too soft.,B
What is the usual cause of runs and sags in aircraft finishes?,What is the usual cause of runs and sags in aircraft finishes?,Too much material applied in one coat.,Material is being applied too fast.,Low atmospheric humidity.,A
"Which defect in aircraft finishes may be caused by adverse humidity, drafts, or sudden changes in temperature?","Which defect in aircraft finishes may be caused by adverse humidity, drafts, or sudden changes in temperature?",Orange peel.,Blushing.,Pinholes.,B
Which statement is true regarding paint system compatibility?,Which statement is true regarding paint system compatibility?,Old-type zinc chromate primer may not be used directly for touchup of bare metal surfaces.,Acrylic nitrocellulose lacquers may be used over old nitrocellulose finishes.,Old wash primer coats may be overcoated directly with epoxy finishes.,C
Which is an acceptable safety device for a castle nut when installed on secondary structures?,Which is an acceptable safety device for a castle nut when installed on secondary structures?,Star washer.,Lockwasher.,Cotter pin.,C
"When used in close proximity to magnetic compasses, cotter pins are made of what material?","When used in close proximity to magnetic compasses, cotter pins are made of what material?",Corrosion resisting steel.,Anodized aluminum alloy.,Cadmium-plated low carbon steel.,A
"When a fiber or nylon insert-type self-locking nut can be threaded on a bolt or stud through the insert with only the fingers, it should be","When a fiber or nylon insert-type self-locking nut can be threaded on a bolt or stud through the insert with only the fingers, it should be",re-torqued frequently.,rejected.,reused only in a different location.,B
Why is it generally necessary to jack an aircraft indoors for weighing?,Why is it generally necessary to jack an aircraft indoors for weighing?,So aircraft may be placed in a level position.,So that air currents do not destabilize the scales.,So weighing scales may be calibrated to 0 pounds.,B
Which should be accomplished before jacking an aircraft?,Which should be accomplished before jacking an aircraft?,Install critical stress panels or plates.,Determine that the fuel tanks are empty.,Make sure the aircraft is leveled laterally.,A
